,run_id,model,task_name,task_param,date,time,n_name_recommendations,n_unique_names_recommendations,n_unique_author_recommendations,n_author_hallucinations,name_similarity,gender_diversity,ethnicity_diversity,aps_scholarly_similarity,oa_scholarly_similarity,scholarly_similarity,aps_career_age_similarity,oa_career_age_similarity,career_age_similarity,institutions_share,country_of_affiliation_share,coauthors_share,coauthors_recommended_share,recommended_author_pairs_are_coauthors
0,l31_8_top100_1212_08,llama-3.1-8b,top_k,top_100,2024-12-12,08:00,60,60,52,8,0.5147345636620313,0.3513313609467455,0.6634615384615384,0.0590504012021723,0.0420695200817723,0.0337551017307991,0.969413099274966,0.9707950572155116,0.9701040782452388,0.0252129843231086,0.4776778965554475,0.0521693720787213,0.1110960477406064,0.0139517345399698
1,l31_8_top100_1212_16,llama-3.1-8b,top_k,top_100,2024-12-12,16:00,60,60,52,8,0.5147345636620313,0.3513313609467455,0.6634615384615384,0.0590504012021723,0.0420695200817723,0.0337551017307991,0.969413099274966,0.9707950572155116,0.9701040782452388,0.0252129843231086,0.4776778965554475,0.0521693720787213,0.1110960477406064,0.0139517345399698
2,l31_8_top100_1214_08,llama-3.1-8b,top_k,top_100,2024-12-14,08:00,60,60,52,8,0.5147345636620313,0.3513313609467455,0.6634615384615384,0.0590504012021723,0.0420695200817723,0.0337551017307991,0.969413099274966,0.9707950572155116,0.9701040782452388,0.0252129843231086,0.4776778965554475,0.0521693720787213,0.1110960477406064,0.0139517345399698
3,l31_8_top100_1214_16,llama-3.1-8b,top_k,top_100,2024-12-14,16:00,60,60,52,8,0.5147345636620313,0.3513313609467455,0.6634615384615384,0.0590504012021723,0.0420695200817723,0.0337551017307991,0.969413099274966,0.9707950572155116,0.9701040782452388,0.0252129843231086,0.4776778965554475,0.0521693720787213,0.1110960477406064,0.0139517345399698
4,l31_8_top100_1215_00,llama-3.1-8b,top_k,top_100,2024-12-15,00:00,60,60,52,8,0.5147345636620313,0.3513313609467455,0.6634615384615384,0.0590504012021723,0.0420695200817723,0.0337551017307991,0.969413099274966,0.9707950572155116,0.9701040782452388,0.0252129843231086,0.4776778965554475,0.0521693720787213,0.1110960477406064,0.0139517345399698
5,l31_8_top5_1209_00,llama-3.1-8b,top_k,top_5,2024-12-09,00:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
6,l31_8_top5_1209_08,llama-3.1-8b,top_k,top_5,2024-12-09,08:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
7,l31_8_top5_1209_16,llama-3.1-8b,top_k,top_5,2024-12-09,16:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
8,l31_8_top5_1210_00,llama-3.1-8b,top_k,top_5,2024-12-10,00:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
9,l31_8_top5_1210_16,llama-3.1-8b,top_k,top_5,2024-12-10,16:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
10,l31_8_top5_1211_00,llama-3.1-8b,top_k,top_5,2024-12-11,00:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
11,l31_8_top5_1211_16,llama-3.1-8b,top_k,top_5,2024-12-11,16:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
12,l31_8_top5_1212_00,llama-3.1-8b,top_k,top_5,2024-12-12,00:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
13,l31_8_top5_1212_08,llama-3.1-8b,top_k,top_5,2024-12-12,08:00,5,5,4,1,0.5625146198830409,0.375,0.625,0.0006790134806205,0.0125063959224289,0.0049599854171251,0.679282322863404,0.7129511026954778,0.6961167127794409,0.0446428571428571,0.6666666666666666,0.0713469871026098,0.1666666666666666,0.25
